Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4269511385,2015-10-23T00:00:00,843.0,WW665,,TX,,,HOND,PA,BK,650 MARIPOSA AV S,00463,54.0,88.13B+,METER EXP.,63.0,6471048.5,1845152.8
4346987864,2019-01-18T00:00:00,831.0,,,CA,201901.0,,NISS,PA,BK,715 BARRINGTON AVE,00154,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6420039.514427,1843130.261908
4344829716,2018-12-17T00:00:00,920.0,,,CA,201909.0,,CHEV,PA,SL,17309 VANOWEN ST,00355,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6407397.069887,1893329.795069
4311326526,2017-06-20T00:00:00,1216.0,,,CA,201801.0,,TOYT,PA,WT,3031 GRAND VIEW BLVD,161R,51.0,80.69B,NO PARKING,73.0,6427010.106183,1829812.263148
1114977706,2017-09-09T00:00:00,1640.0,,,CA,201710.0,,FORD,PA,WH,1140 PACIFIC ST,5A25,1.0,8056E4,RED ZONE,93.0,6417927.27540131,1819120.94575349
4304774692,2017-04-04T00:00:00,1028.0,,,CA,201705.0,,DODG,VN,BL,2000 DUNSMUIR AVE,146R1,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6453713.459988,1837377.7596900002
4339621484,2018-09-26T00:00:00,831.0,,,CA,201810.0,,FIAT,PA,GY,1713 5TH AVE,00156,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6463977.905633,1837711.776265
4277847475,2016-03-03T00:00:00,1123.0,,,CA,1.0,,OTHR,TK,BN,250 ROSE ST,6T4,56.0,80.56E4+,RED ZONE,93.0,6489850.2,1839218.6
4313004835,2017-07-24T00:00:00,1352.0,30,,CA,,,MERZ,PA,BK,745 ALFRED ST N,00471,54.0,80.58L,PREFERENTIAL PARKING,68.0,6448035.861507,1853301.4904450001
1109070200,2016-11-25T00:00:00,825.0,,,CA,201706.0,,DODG,TR,WH,1020 E 43RD PL,24MQ5,1.0,013,22500H,68.0,6483510.8491015,1824242.48625021
4302569600,2017-03-03T00:00:00,1157.0,,930.0,CA,,,AUDI,PA,BK,3900 RHODES AVE,00358,53.0,80.69C,PARKED OVER TIME LIMIT,58.0,6439694.712855,1874157.678875
4281321973,2016-04-25T00:00:00,1217.0,,,CA,201609.0,,LEXS,PA,WT,6831 PEACH AVENUE,00362,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6420033.0,1893481.6
4305829673,2017-04-09T00:00:00,2239.0,,,CA,201706.0,,ACUR,PA,GY,3880 POTOMAC AVENUE,00500,55.0,80.61,STANDNG IN ALLEY,68.0,6456548.655989,1828064.9856349998
4251320791,2015-02-09T00:00:00,1109.0,,,CA,201506.0,,AUDI,PA,BL,800 ISLAND AVE,00500,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6480673.9,1742341.8
4325908580,2018-02-04T00:00:00,1640.0,CB85,,CA,,,GMC,PA,BK,201 OLYMPIC BLVD E,00600,56.0,88.13B+,METER EXP.,63.0,6483685.981023001,1837366.683423
4342365565,2018-11-06T00:00:00,1147.0,,,CA,201808.0,,HOND,PA,SL,1028 TREMONT ST,00644,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6501783.288814,1841895.205923
4282517083,2016-05-16T00:00:00,1225.0,,,CA,4.0,,BMW,PA,WT,6300 ROMAINE ST,00456,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6462113.3,1854905.8
4315334763,2017-08-21T00:00:00,2244.0,,,NV,201707.0,,MITS,PA,GY,7057 HAWTHORN AVENUE,00401,54.0,22514,FIRE HYDRANT,68.0,6457731.435833001,1859071.688611
4307280504,2017-05-10T00:00:00,204.0,,,CA,12.0,,FORD,PA,WT,715 NORMANDIE AVE S,00402,54.0,80.56E4+,RED ZONE,93.0,6470692.067553,1852983.953806
4295132833,2016-10-18T00:00:00,1532.0,,,CA,201701.0,,BMW,PA,WT,217 6TH ST W,00600,56.0,80.69A+,STOP/STAND PROHIBIT,93.0,6485587.987522,1839242.953864
4279044162,2016-03-16T00:00:00,1453.0,,1330.0,CA,,,TOYT,PA,GY,1530 LAS PALMAS AVE N,00483,54.0,80.69C,PARKED OVER TIME LIM,58.0,6459850.3,1858400.3
4259941361,2015-06-02T00:00:00,1141.0,,,CA,2.0,,PLYM,PA,PR,615 S SHATTO PLACE,00456,54.0,80.69AP+,NO STOP/STANDING,93.0,6473740.6,1844888.9
4299894690,2016-12-21T00:00:00,1159.0,,,CA,201710.0,,FORD,PA,WT,4946 ARGUS DR,00675,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6499313.336144,1872183.453918
4275844650,2016-01-20T00:00:00,1614.0,EN322,,NY,,,HOND,PA,SL,17001 VENTURA BL,00107,53.0,88.13B+,METER EXP.,63.0,6409416.0,1880906.3
4344769656,2018-12-24T00:00:00,1211.0,,,CA,201907.0,,KIA,PA,BK,425 GRAND BLVD,00184,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419671.289806,1818419.642938
4305110666,2017-04-08T00:00:00,827.0,CT386,,CA,201705.0,,FORD,PA,BK,818 SPRING ST N,00607,56.0,88.13B+,METER EXP.,63.0,6484752.540315,1838062.1078380002
4276762991,2016-02-16T00:00:00,819.0,,,CA,201606.0,,MAZD,PA,GN,2414 BARRINGTON AVE,00154,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6426715.1,1834046.0
4272879881,2015-12-07T00:00:00,2207.0,,,CA,2.0,,FORD,PA,BK,8720 PARTHENIA PL,00310,53.0,80.69B,NO PARKING,73.0,6420801.3,1906159.4
4333622591,2018-05-25T00:00:00,1039.0,,,CA,201804.0,,FORD,PA,GY,13350 HUSTON ST,00365,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6433378.742168,1880683.302477
4297139744,2016-11-05T00:00:00,1400.0,,,CA,201608.0,,MASE,PA,WT,640 HILL ST S,00657,56.0,5204A-,DISPLAY OF TABS,25.0,6484826.360634,1839495.5883779998
4284437382,2016-06-23T00:00:00,1211.0,BR42,,CA,201609.0,,MERZ,PA,BK,11701 SAN VICENTE BL,112R,51.0,88.13B+,METER EXP.,63.0,6416064.5,1841198.5
4321670312,2017-11-22T00:00:00,1137.0,,,CA,201811.0,,MERZ,PA,BL,411 8TH ST E,00667,56.0,80.56E4+,RED ZONE,93.0,6484145.8389800005,1838689.423584
4274809243,2016-01-11T00:00:00,1334.0,,,CA,201605.0,,AUDI,PA,BK,822 32ND ST W,00536,55.0,80.69AA+,NO STOP/STAND,93.0,6476059.7,1831630.1
